place_name,lat,long,date,households(10k),total_population(10k),male_population(10k),female_population(10k),page_in_source
PRC,35.8617,104.1954,1949,,54167,28145,262022,1-2
PRC,35.8617,104.1954,1950,,55196,280669,260527,1-2
PRC,35.8617,104.1954,1951,,56300,29231,27069,1-2
PRC,35.8617,104.1954,1952,,57482,29833,27649,1-2
PRC,35.8617,104.1954,1953,130579,58796,30468,28328,1-2
PRC,35.8617,104.1954,1954,130553,60266,31242,292024,1-2
PRC,35.8617,104.1954,1955,13754,61465,31809,29656,1-2
PRC,35.8617,104.1954,1956,14048,62828,32536,30292,1-2
PRC,35.8617,104.1954,1957,140431,64653,33469,31184,1-2
PRC,35.8617,104.1954,1958,140420,65994,34195,31799,1-2
PRC,35.8617,104.1954,1959,14661,67207,34890,32317,1-2
PRC,35.8617,104.1954,1960,14746,66207,34283,31924,1-2
PRC,35.8617,104.1954,1961,15307,65859,33880,31979,1-2
PRC,35.8617,104.1954,1962,15533,67295,34517,32778,1-2
PRC,35.8617,104.1954,1963,15637,69172,35533,33639,1-2
PRC,35.8617,104.1954,1964,150759,70499,36142,34357,1-2
PRC,35.8617,104.1954,1965,150953,72538,37128,35410,1-2
PRC,35.8617,104.1954,1966,16098,74542,38189,360353,1-2
PRC,35.8617,104.1954,1967,16341,76368,39115,37253,1-2
PRC,35.8617,104.1954,1968,160671,78534,40226,38308,1-2
PRC,35.8617,104.1954,1969,171972,80671,41289,39382,1-2
PRC,35.8617,104.1954,1970,170515,82992,42686,40306,1-2
PRC,35.8617,104.1954,1971,17962,85229,43819,41410,1-2
PRC,35.8617,104.1954,1972,18222,87177,44813,42364,1-2
PRC,35.8617,104.1954,1973,18555,89211,45876,43335,1-2
PRC,35.8617,104.1954,1974,180906,90859,46727,44132,1-2
PRC,35.8617,104.1954,1975,190311,92420,47564,44856,1-2
PRC,35.8617,104.1954,1976,190787,93717,48257,45460,1-2
PRC,35.8617,104.1954,1977,20235,94974,48908,46066,1-2
PRC,35.8617,104.1954,1978,20641,96259,49567,46692,1-2
PRC,35.8617,104.1954,1979,20986,97542,50192,47350,1-2
PRC,35.8617,104.1954,1980,21396,98705,50785,47920,1-2
PRC,35.8617,104.1954,1981,22057,100072,51519,48553,1-2
PRC,35.8617,104.1954,1982,22538,1010541,52310,49231,1-2
PRC,35.8617,104.1954,1983,23000,1020495,52865,49630,1-2
PRC,35.8617,104.1954,1984,23476,103475,53423,50052,1-2
PRC,35.8617,104.1954,1985,24134,104532,54011,50521,1-2
