place_name,lat,long,date,households(10k),total_population(10k),non-rural_population(10k),page_in_source
Shanghai,31.2304,121.4737,1949,n/a,n/a,n/a,208
Shanghai,31.2304,121.4737,1950,n/a,492.7,n/a,208
Shanghai,31.2304,121.4737,1951,n/a,552.2,n/a,208
Shanghai,31.2304,121.4737,1952,n/a,578.1,n/a,208
Shanghai,31.2304,121.4737,1953,n/a,614.1,n/a,208
Shanghai,31.2304,121.4737,1954,140.9,662.7,n/a,208
Shanghai,31.2304,121.4737,1955,139.8,623.1,n/a,208
Shanghai,31.2304,121.4737,1956,138.8,634.9,584,208
Shanghai,31.2304,121.4737,1957,146.6,689.7,n/a,208
Shanghai,31.2304,121.4737,1958,127.4,578.1,n/a,208
Shanghai,31.2304,121.4737,1959,129.4,587.3,n/a,208
Shanghai,31.2304,121.4737,1960,138,641.3,n/a,208
Shanghai,31.2304,121.4737,1961,139.2,641.2,638.2,208
Shanghai,31.2304,121.4737,1962,138.9,635.8,632.5,208
Shanghai,31.2304,121.4737,1963,138.6,639,635.5,208
Shanghai,31.2304,121.4737,1964,138.7,642.8,638.4,208
Shanghai,31.2304,121.4737,1965,139,643.1,638.9,208
Shanghai,31.2304,121.4737,1966,n/a,636,632,208
Shanghai,31.2304,121.4737,1967,n/a,639,639,208
Shanghai,31.2304,121.4737,1968,n/a,634,634,208
Shanghai,31.2304,121.4737,1969,n/a,609,609,208
Shanghai,31.2304,121.4737,1970,n/a,580.2,576.4,208
Shanghai,31.2304,121.4737,1971,141.3,570.7,566.8,208
Shanghai,31.2304,121.4737,1972,142.2,564.7,561.1,208
Shanghai,31.2304,121.4737,1973,143.4,562.5,556.8,208
Shanghai,31.2304,121.4737,1974,144.4,562,557.9,208
Shanghai,31.2304,121.4737,1975,145.8,557,553.1,208
Shanghai,31.2304,121.4737,1976,147.6,551.9,548.1,208
Shanghai,31.2304,121.4737,1977,149.4,547.1,541.9,208
Shanghai,31.2304,121.4737,1978,151.8,557.4,553.5,208
Shanghai,31.2304,121.4737,1979,154.6,591.5,588.4,208
Shanghai,31.2304,121.4737,1980,158,601.3,598.3,208
Shanghai,31.2304,121.4737,1981,162.7,613.4,608.6,208
Shanghai,31.2304,121.4737,1982,167.5,626.8,622,208
Shanghai,31.2304,121.4737,1983,173,639.1,632.1,208
Shanghai,31.2304,121.4737,1984,189.7,688.1,672.6,208
Shanghai,31.2304,121.4737,1985,197.4,698.3,687.1,208
Shanghai,31.2304,121.4737,1985,,,,208
